Spain,4.1,4.4,4.5,4.6,4.8,5.0,5.7,6.5,11.0,29.2
Israel,4.0,4.3,4.4,4.6,4.7,4.9,5.6,6.9,11.6,
Switzerland,3.9,4.3,4.4,4.5,4.6,4.7,5.1,5.6,8.2,18.4
Australia,3.8,4.3,4.5,4.8,5.0,5.2,5.7,6.2,9.2,21.4
Netherlands,3.8,4.2,4.3,4.4,4.6,4.8,5.4,6.2,8.3,15.8
Germany,3.7,4.0,4.1,4.2,4.3,4.4,4.7,5.4,8.5,25.7
Portugal,3.6,3.8,3.8,3.9,4.0,4.1,4.7,7.2,14.7,68.2
Ireland,3.6,4.0,4.1,4.2,4.3,4.5,5.2,7.1,9.2,22.2
Austria,3.5,4.0,4.2,4.4,4.5,4.6,4.9,5.5,9.5,29.1
Monaco,3.5,3.8,3.9,4.0,4.1,4.2,4.5,5.2,7.8,
Denmark,3.5,3.8,3.9,4.0,4.2,4.3,4.9,5.6,8.9,16.6
Italy,3.5,3.8,3.9,4.0,4.1,4.1,4.4,5.5,9.7,33.6
"Korea, Rep.",3.4,3.8,4.0,4.1,4.3,4.5,5.6,6.1,7.1,52.8
Czech Republic,3.4,3.8,3.9,4.1,4.3,4.5,5.2,6.6,14.6,
Sweden,3.0,3.0,3.0,3.1,3.1,3.2,3.6,4.1,6.9,13.4
Estonia,2.9,3.8,4.2,4.6,5.1,5.5,7.3,11.0,20.2,
San Marino,2.9,3.2,3.4,3.5,3.6,3.7,4.2,5.5,10.9,
Andorra,2.8,3.1,3.2,3.3,3.4,3.5,3.9,4.6,8.5,
Japan,2.7,3.0,3.4,3.2,3.3,3.4,3.7,4.5,6.3,17.5
Cyprus,2.7,3.2,3.4,3.6,3.8,4.1,4.8,6.6,11.1,
Singapore,2.7,2.8,2.8,2.8,2.8,2.8,2.9,4.0,7.7,27.4
Norway,2.6,3.0,3.1,3.2,3.4,3.5,4.0,4.9,8.7,16.2
Slovenia,2.6,3.0,3.1,3.3,3.5,3.6,4.3,5.5,10.4,
Finland,2.3,2.7,2.9,3.0,3.2,3.3,3.8,4.3,6.7,16.1
Iceland,2.0,2.2,2.3,2.4,2.5,2.7,3.1,4.0,6.4,15.8
Luxembourg,1.9,2.1,2.3,2.4,2.6,2.8,3.5,4.8,8.8,22.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
